sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
2167,216.8161155,1059,
2168,216.9162004,1091,
2169,217.0162852,1098,
2170,217.11637,1162,
2171,217.2164549,1059,
2172,217.3165397,1060,
2173,217.4166245,1103,
2174,217.5167094,1085,
2175,217.6167942,1070,
2176,217.716879,1015,
2177,217.8169639,1063,
2178,217.9170487,1058,
2179,218.0171335,1032,
2180,218.1172184,1137,
2181,218.2173032,1050,
2182,218.317388,1014,
2183,218.4174729,1082,
2184,218.5175577,1121,
2185,218.6176425,1032,
2186,218.7177274,1051,
2187,218.8178122,1039,
2188,218.917897,1037,
2189,219.0179819,1039,
2190,219.1180667,990,
2191,219.2181515,1081,
2192,219.3182364,1106,
2193,219.4183212,1021,
2194,219.518406,1013,
2195,219.6184909,1035,
2196,219.7185757,993,
2197,219.8186605,1064,
2198,219.9187454,1064,
2199,220.0188302,1064,
2200,220.1189151,1007,
2201,220.2189999,1072,
2202,220.3190847,1113,
2203,220.4191696,1025,
2204,220.5192544,983,
2205,220.6193392,1039,
2206,220.7194241,1077,
2207,220.8195089,1007,
2208,220.9195937,1056,
2209,221.0196786,1093,
2210,221.1197634,1030,
2211,221.2198482,1027,
2212,221.3199331,989,
2213,221.4200179,1038,
2214,221.5201027,1035,
2215,221.6201876,1069,
2216,221.7202724,1039,
2217,221.8203572,1074,
2218,221.9204421,1040,
2219,222.0205269,1023,
2220,222.1206117,1093,
2221,222.2206966,1085,
2222,222.3207814,1045,
2223,222.4208662,1041,
2224,222.5209511,1070,
2225,222.6210359,999,
2226,222.7211207,1015,
2227,222.8212056,1053,
2228,222.9212904,1025,
2229,223.0213752,1049,
2230,223.1214601,1074,
2231,223.2215449,974,
2232,223.3216297,936,
2233,223.4217146,1044,
2234,223.5217994,1007,
2235,223.6218842,1014,
2236,223.7219691,974,
2237,223.8220539,969,
2238,223.9221387,995,
2239,224.0222236,1005,
2240,224.1223084,980,
2241,224.2223932,1040,
2242,224.3224781,977,
2243,224.4225629,1027,
2244,224.5226477,1061,
